,cost,group,n_met,n_mutual,n_pw_mut,table,chat,room,session
285,0.9444444444444443,"(5, 12, 14, 20, 68)",1.0,0.0,13.0,5,3,2,2
286,2.833333333333333,"(43, 23, 18, 41, 51)",2.0,0.0,9.0,6,3,2,2
287,2.6666666666666665,"(28, 32, 46, 80, 21)",2.0,0.0,12.0,7,3,2,2
288,0.11111111111111094,"(12, 46, 47, 71)",1.0,1.0,10.0,0,4,2,2
289,1.111111111111111,"(43, 32, 19, 5)",1.0,0.0,10.0,1,4,2,2
290,2.944444444444444,"(0, 68, 57, 21)",2.0,0.0,7.0,2,4,2,2
291,1.3888888888888888,"(52, 48, 56, 51)",1.0,0.0,5.0,3,4,2,2
292,4.722222222222222,"(53, 31, 26, 23)",3.0,0.0,5.0,4,4,2,2
293,1.2222222222222219,"(20, 4, 25, 54, 37)",2.0,1.0,20.0,5,4,2,2
294,2.722222222222222,"(62, 80, 74, 18, 14)",2.0,0.0,11.0,6,4,2,2
295,1.222222222222222,"(16, 82, 28, 41, 50)",1.0,0.0,8.0,7,4,2,2
296,1.7777777777777775,"(25, 31, 46, 57)",2.0,1.0,10.0,0,5,2,2
297,1.7777777777777775,"(18, 20, 21, 82)",2.0,1.0,10.0,1,5,2,2
298,2.8888888888888884,"(19, 41, 47, 48)",2.0,0.0,8.0,2,5,2,2
299,3.1111111111111107,"(71, 51, 14, 52)",2.0,0.0,4.0,3,5,2,2
300,3.611111111111111,"(56, 53, 16, 62)",3.0,1.0,7.0,4,5,2,2
301,2.6111111111111107,"(5, 12, 54, 80, 23)",2.0,0.0,13.0,5,5,2,2
